Course Name,About This Course
Introduction to Psychological Aspects of Game Design,"ThisintroductorycourseisbasedontheGameDesign& VFXSchoolat LaSalleCollege’sVancouver campus,crownedthe#1undergraduateschoolinCanadaforvideogamedesignbythePrincetonReview10yearsin arow. | Are you ready to take the first step from gamer to game designer? Then this course is for you! | This course is an introduction to the basic concepts of game development and design theory, and explores how these concepts affect the ways we design and interact with games. | What are games? What are their structures and rule systems? What are their mechanics and dynamics? How does behavioral psychology impact game design? This course answers all these questions and many more! | This course explores the tenets of game design, core game structure, the components of a game, and the different areas of specialization within game design. We look at theoretical design frameworks as conceptual models for approaching design and the fundamental concepts in game psychology, motivation and game experience. The course describes the models that explain the various player types and play styles (what types of people play games, and what motivates and interests them). | Finally, you will learn about core game mechanics and challenge dynamics, and how your designs can be improved by thinking about them from a psychological, player-centric perspective. | Throughout this course, we use classic video game examples such as Pac-Man, Space Invaders and Solitaire to see what they can teach us about games and game design."
IT Fundamentals for Business Professionals: Enterprise Systems,"This course is one of the 5 courses of an introductory business information systems series, designed to introduce you to the amazing world of Information Technology. | The series of courses is designed so that a professional in a field outside the information technologies (financial, administrative or managerial) acquires the basic knowledge in Information Technology to be able to interact more profitably with the computer and telecommunications specialists of your company or other corporations with which you are related, being able to specify requirements, evaluate workloads and monitor results in a much more effective way. | The syllabus of the series is based on the CLEP Information Systems and Computer Applications exam. | In this course, you will learn the basic concepts of information systems and their application. | By completing the series of 5 courses, you will be prepared to interact effectively with specialists in the Information Technology sector (and pass the CLEP ISCA exam if you wish"
C++ Programming: Intermediate Concepts,"Code and run your first C++ program in minutes without installing anything! | This course is designed for learners with limited coding experience, providing a solid foundation of not just C++, but core Computer Science topics that can be transferred to other languages. The modules in this course cover pointers, strings, functions, files, and recursion. Completion of C++ Basics Skills before taking this course is recommended. | To allow for a truly hands-on, self-paced learning experience, this course is video-free. Assignments contain short explanations with images and runnable code examples with suggested edits to explore code examples further, building a deeper understanding by doing. You’ll benefit from instant feedback from a variety of assessment items along the way, gently progressing from quick understanding checks (multiple choice, fill in the blank, and un-scrambling code blocks) to small, approachable coding exercises that take minutes instead of hours."
Introducción a la programación en Java: empezando a programar,"Este es un curso introductorio para aprender programación con Java. Java es uno de los lenguajes de programación más usados actualmente. | A lo largo de las cinco semanas se introducen progresivamente conceptos necesarios que irán familiarizándote con la programación en Java como la abstracción funcional, el paradigma de programación orientada a objetos (OOP) y las interfaces de programación de aplicaciones (APIs). Se proporcionan ejemplos y casos de estudio para que los alumnos puedan comenzar a programar por su cuenta o en colaboración con sus compañeros. | Este curso de Java está compuesto de tres partes: | Se pone énfasis en la realimentación inmediata y en tener una experiencia divertida. El conocimiento de programación en Java no sólo es útil para poder programar los dispositivos actuales, como ordenadores y teléfonos inteligentes. También abre la puerta al pensamiento computacional, es decir, la aplicación de técnicas informáticas a los procesos cotidianos."
Build Your First Internet of Things (IoT) Application on Arm,"Arm technology powered the smartphone revolution, and now it’s helping power the Internet of Things (IoT). This online course will provide beginners with an accelerated path to gain the knowledge necessary to thrive in a world transformed by innovations in IoT. | You can purchase the bill of materials required for the course directly from our technology partner, STMicroelectronics:https://www.st.com/content/st_com/en/campaigns/educationalplatforms/iot-arm-edx-edu.html | Instructor Update:We've identified an issue with the Google IoT Cloud service used in Modules 5 and 6 of the course. We are working to implement a solution to fix this issue and will update learners on our progress. | You’ll start your learning journey in this course by understanding the fundamentals of IoT, but quickly move to practical projects that will teach you the essentials of building Arm-based IoT applications. | Given that mobile computing platforms are where IoT often happens, we’ll also give you a basic understanding of Android application design, so you can integrate your mobile device into your IoT applications. | IoT applications have the potential to change the lives of billions around the world. This is why we’ll also provide you with the social context behind the technology. The course includes videos that illustrate the global impact of IoT applications – especially in emerging economies such as Africa. From ‘smart farming’, to solar panels and ‘blood drones’ - each case study contextualises IoT in real ‘first mile’ and ‘last mile’ applications, to help you understand the transformative impact of this technology in the real world. | Over the 6 modules, you will gain a key overview of: | • Internet of Things (IoT) fundamentals | • IoT and embedded system architectures | • Embedded application programming | • Connectivity and networking technologies such as Bluetooth Low Energy (BLE), LoRaWAN, ZigBee, and the IEEE 802.1 protocols | • Cloud computing | While not a requirement for this course, we recommend that learners who would like to improve their embedded systems skills (one of the essential technologies behind IoT implementations), also take ourEmbedded Systems Essentials on ArmedX program. | The Internet of Things is one of the fundamental building blocks of the next wave of computing. Forge your own career path in this connected world by enrolling in our course today!"
Fundamentals of Digital Transformation,"This course is a prerequisite for theData Analytics for Digital Transformation Professional Certificateand must be completed before enrolling in the core courses: Predictive Analytics, Simulation for Digital Transformation, and Prescriptive Analytics. | The Fundamentals of Digital Transformation course provides a comprehensive introduction to the technologies, strategies, and business models driving digital innovation. Participants will explore key concepts such as cloud computing, artificial intelligence (AI), the Internet of Things (IoT), automation, and data-driven decision-making, learning how these tools reshape industries and enhance customer experiences. | Through case studies, interactive activities, and role-play exercises, students will analyze real-world examples of digital transformation in companies like Microsoft, Starbucks, JPMorgan Chase, and Dell. The course also examines ethical considerations, privacy concerns, and organizational challenges, helping participants develop strategies for implementing digital solutions while addressing leadership resistance and compliance requirements. | By the end of this course, learners will gain a practical understanding of digital transformation frameworks, enabling them to drive innovation, optimize operations, and remain competitive in an increasingly digital economy."
Apache Spark for Data Engineering and Machine Learning,"Apache® Spark™ is a fast, flexible, and developer-friendly open-source platform for large-scale SQL, batch processing, stream processing, and machine learning. Users can take advantage of its open-source ecosystem, speed, ease of use, and analytic capabilities to work with Big Data in new ways. | In this short course, you explore concepts and gain hands-on skills to use Spark for data engineering and machine learning applications. You'll learn about Spark Structured Streaming, including data sources, output modes, operations. Then, explore how Graph theory works and discover how GraphFrames supports Spark DataFrames and popular algorithms. | Organizations can acquire data from structured and unstructured sources and deliver the data to users in formats they can use. Learn how to use Spark for extract, transform and load (ETL) data. Then, you'll hone your newly acquired skillsduring your ""ETL for Machine Learning Pipelines"" lab. | Next, discover why machine learning practitioners prefer Spark. You'll learn how to create pipelines and quickly implement features for extraction, selections, and transformations on structured data sets. Discover how to perform classification and regression using Spark. You'll be able to define and identify both supervised and unsupervised learning. Learn about clustering and how to apply thek-means clustering algorithm using Spark MLlib​. You'll reinforce your knowledge with focused, hands-on labs and a final project where you will apply Spark to a real-world inspired problem. | Prior to taking this course, please ensure you have foundational Spark knowledge and skills, for example, by first completing the IBM course titled ""Big Data, Hadoop and Spark Basics."""
Programming & Data Structures,"This self-paced, asynchronous course is recommended for learners who want to establish a solid knowledge base in data structures and basic programming in Python. | Learners can expect to review the technical coursework as well as complete a self-assessment."
Rust Fundamentals,"From Basics to Mastery | Get a solid foundation in the powerful and efficient Rust programming language: | By the end, you'll master Rust to build reliable, high-performance software - whether starting as a total beginner or experienced programmer."
Reinforcement Learning,"Have you ever wondered how machines can learn through trial and error, like a child mastering a new game? Or how computers are able to beat humans in chess? This is where Reinforcement Learning (RL) comes in; a powerful field of artificial intelligence focused on how machines learn by interacting with their environment and receiving feedback. | This MOOC is your gateway to understanding and applying RL. The course starts with building a solid mathematical foundation of the core concepts of RL in a simplified setting to make them rigorous and foster understanding. Building on these fundamentals, we present selected algorithms from modern deep RL, providing you with the basis to study new methods from RL research and put them into practice. The course is accompanied by exercises including programming examples to deepen the understanding of the discussed materials. Join us and unlock the potential of learning through interaction!"
Linux Tools for Software Development,"If you are a developer with experience working on any operating system and want to understand the basics of open source development, this course is for you. Experience with the command line is not necessary, but would be helpful. | The course begins by introducing the numerous essential command line tools that are used daily in software development. It then focuses on bash scripting, explaining how to construct scripts and how to do very complicated tasks in an automated way. The course looks at files and filesystems and focuses on compiling programs in Linux, using gcc and other compilers, and using libraries of different types. This course also covers building packages out of software in Linux, and more. | This course helps you familiarize yourself with essential command line tools, so you can work comfortably and productively in Linux environments, and demonstrates that you have mastered important Linux methods and requisite tools."
Algorithmic Design and Techniques,"In this course, part of the Algorithms and Data Structures MicroMasters program, you will learn basic algorithmic techniques and ideas for computational problems, which arise in practical applications such as sorting and searching, divide and conquer, greedy algorithms and dynamic programming. | This course will cover theories, including: | You will practice solving computational problems, designing new algorithms, and implementing solutions efficiently (so that they run in less than a second)."
Advanced RAG,"Transform your ability to build enterprise-grade AI applications using advanced Retrieval-Augmented Generation (RAG) techniques. This comprehensive course is designed for AI engineers, MLOps professionals, and software developers seeking to master LLM implementation. | Key Course Features: | Perfect for: | Prerequisites:"
Big Data Analytics,"Gain essential skills in today’s digital age to store, process and analyse data to inform business decisions. | In this course, part of the Big Data MicroMasters program, you will develop your knowledge of big data analytics and enhance your programming and mathematical skills. You will learn to use essential analytic tools such as Apache Spark and R. | Topics covered in this course include: | By the end of this course, you will be able to approach large-scale data science problems with creativity and initiative."
"Spark, Hadoop, and Snowflake for Data Engineering","In this course, you will: | This course is designed for learners who want to pursue or advance their career in data science or data engineering, or for software developers or engineers who want to grow their data management skill set. With quizzes to test your knowledge throughout, this comprehensive course will help guide your learning journey to become a proficient data engineer, ready to tackle the challenges of today's data-driven world."
Introduction to Game Design: Process and Creation,"ThisintroductorycourseisbasedontheGameDesign& VFXSchoolatLaSalleCollege’sVancouver campus,crownedthe#1undergraduateschoolinCanadaforvideogamedesignbythePrincetonReview10yearsin arow. | What is good game design? How do you come up with good game ideas? How do you start documenting your ideas? How do you create an experience? How do you write a rule book? These are some of the questions that will come up during the game design process, and this course will enable you to answer them. | When you’re designing a game, you’re designing an intricate system, so you will follow aseries of steps to help you through the game creation process. | This course walks you through those steps—from determining a game’s success criteria and conceptualizing new aspects and core concepts to designing and prototyping your game, through to producing and finalizing your game. | It explores what’s involved in designing game experiences for the gaming industry and which elements affect player experiences and behavior. It also identifies some key considerations in ideation and video game development: how to establish your game’s situation, design pillars and loops, and document your game ideas."
Modern Distributed Systems,"Modern IT infrastructure is built as distributed systems, an exciting concept that started with the first computers and evolved rapidly into its present form. From online video meetings to internet services, from social media platforms to online games, we all use and interact with distributed systems on a daily basis and increasingly depend on them. Designing and operating such large-scale distributed systems, however, is complex and typically involves making reasonable compromises. There are fundamental technical barriers as well as economic arguments why we cannot make these systems behave as if they were running on a single, perfectly reliable machine.. | In this course, learners will be introduced to the essential functional and non-functional concerns of distributed systems and the common problems encountered while designing them, such as consistency, availability, elasticity, and scalability. A variety of practical solutions that have been established in the leading tech industry in recent years will be reviewed. These provide re-usable building blocks to create new large-scale applications. These recent developments, especially around cloud computing, large-scale data processing, distributed machine learning, and other fields are often not reflected in textbooks and are absent from many traditional curricula but are at the heart of this course. | The course will therefore provide learners with the fundamental understanding (theoretical and practical foundations) of how cloud, edge, and big data processing systems work and how they address common challenges for distributed systems such as performance, resilience, and scalability. | The learning progress is assessed through a variety of different activities including quizzes, design exercises, experiments, and open questions, with peer review of other students’ solutions. In the final project, learners will design a distributed system based on the learners’ own experience and interests and describe the functional and non-functional properties of the system."
Unlocking the Power of Generative AI with ChatGPT for Higher Education,"In an increasingly digitized and technologically evolving world, it is crucial to stay informed about the tools and resources that are reshaping education. Undoubtedly, ChatGPT is one of these tools, revolutionizing how students access and process information, and how educators design and deliver personalized educational content. | ChatGPT is a conversational language model developed by OpenAI. It operates by employing natural language processing techniques and is trained on vast amounts of text to generate responses to user-provided questions or prompts. | The potential of these technologies in education is evident. ChatGPT, Bard, or Bing can assist educators in several tasks, such as content generation and learning activities. However, new technologies bring along a series of changes, challenges, and concerns regarding their use in education. On one hand, optimists praise these tools for supporting teaching. On the other hand, skeptics perceive a clear challenge, particularly regarding the possibility of students easily completing tasks using tools like ChatGPT. These concerns and questions arise whenever new technologies appear in the educational domain. Yet, as usual, these concerns must be considered within a broader framework of reflection, encompassing the relationship (past, present, and future) between technologies and education. | In this course, you will discover how to effectively and creatively engage with ChatGPT to obtain surprising and relevant responses in the educational realm. Through practical examples, we will explore everything you need to know about ChatGPT, from designing curriculum plans and orchestrating learning experiences to creating instructional materials and crafting assessments. |  | At the end of this course, participants will have a better understanding of how to use ChatGPT to enhance teaching and learning processes. Participants will also have the opportunity to experiment with ChatGPT and develop their own ideas on how to integrate it into their teaching practice."
Relational Database Administration (DBA),"Managing databases is a critical skill for Data Engineers and Database Administrators to ensure data is reliable, protected and easily accessible for organizations to make better decisions, solve problems and create business value. | With the amount of data continually expanding and business leaders focused on building data-literate organizations, it’s no surprise that Database Administrators are in high demand and earn a median salary of US $98,860 per year according to the US Bureau of Labor Statistics. | This course provides you with the knowledge and hands-on experience to manage and maintain databases, understand database security, design and define database schemas, tables, views, and other database objects, describe storage, perform backups and recovery, troubleshoot errors, monitor and optimize performance and automate tasks. | This course includes hands-on practice labs and a real-world inspired project to add to your portfolio that will demonstrate your ability to perform the Database Administration tasks using relational databases (RDBMSes) such as MySQL, PostgreSQL and IBM Db2. | Prior knowledge of database fundamentals and SQL is required to complete this course."
"Virtualization, Docker, and Kubernetes for Data Engineering","Dive into the world of virtualization, containerization, and orchestration for data engineering: | Gain practical experience with industry-standard tools and techniques. Develop the skills to build, deploy, and manage containerized data solutions at scale. Whether you're a student or data professional, level up your data engineering capabilities."
Deep Learning,"Deep learning es un área de reciente creación con una enorme popularidad. Deep learning busca el aprendizaje a partir de grandes volúmenes de datos y con ayuda de redes neuronales de gran tamaño. En este curso aprenderás que es una red neuronal, como crear una red neuronal, entrenar una red neuronal con un conjunto de imágenes."
Microservices and Serverless,"Please Note: Learners who successfully complete this IBM course can earn a skill badge — a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. Enroll to learn more, complete the course and claim your badge! | The emergence of cloud computing has brought about a lot of changes to modern software development. Rather than large annual releases on physical mediums like CDs, modern software is increasingly released on the cloud, provided cost reduction, decreased time to market, and increased agility. These changes allow organizations to keep pace with their competitors and bring new innovations to market in ways that previously would have been unthinkable. | Rather than building large applications, known as monoliths, that perform all the functionality, microservices break down larger applications into smaller pieces that are independently maintainable and scalable, providing a host of benefits. This architecture is used at the largest software organizations in the world, because it provides cost benefits, team autonomy, and so many other advantages. | By the end of this course, you will |  | This course will introduce you to 12-factor apps and microservices, concepts that emerged to help organizations work better and faster in a cloud-native manner. You’ll then learn about serverless computing—how it works, what value it brings, and what are specific serverless technologies. You’ll get hands-on with IBM Cloud Functions, a serverless platform on IBM Cloud that lets you develop serverless apps with ease. Finally, you will learn to build and deploy applications using container images on the code engine. | The course contains several hands-on labs which allow you to apply the content you learn. | The prerequisites for this course include basic computer and cloud literacy as well as an understanding of core cloud concepts. In addition, understanding of the command line and how to use shell commands will greatly benefit you during this course."
Visualización de Datos y Storytelling,"Digamos que necesitas comprender big data; miles o incluso millones de filas de datos, y tienes poco tiempo para hacerlo. los datos pueden provenir de tu equipo, en cuyo caso tal vez ya estés familiarizado con lo que estás midiendo y de los resultados que se esperan. O puede provenir de otro equipo, o tal vez de varios equipos a la vez, y estar completamente familiarizado. | De cualquier manera, la razón por la que lo estás viendo es porque tienes que tomar una decisión lo mas rápido posible y sería de gran ayuda que los datos te informen como tomarla (inteligencia de negocios); pues esa decisión podrá afectar positiva o negativamente a un cliente, a un producto o a toda la organización. En este curso online, conocerás una parte importante de la ciencia de datos o Data Science; la visualización de los datos y las herramientas que puedes usar para aplicarlos. | Debido a la forma en que el cerebro humano procesa la información, usar tablas o gráficos para visualizar grandes cantidades de datos complejos es mas fácil que analizar hojas de cálculo o informes. La visualización de datos es una forma rápida y fácil de transmitir conceptos de manera universal, y es posible el poder experimentar con diferentes escenarios haciendo pequeños ajustes. | La visualización de datos es la presentación de datos en un formato gráfico. | Permite a los tomadores de decisiones ver el análisis presentados visualmente, para que puedan comprender conceptos dificiles o identificar nuevos patrones. La visualización de datos revela informacion inadvertida, especiamente en grandes conjuntos de datos (big data); da respuestas mas rápido; y ayuda a entender mas fácilmente la relación causa-efecto."
Introduction to Java Programming: Fundamental Data Structures and Algorithms,"In this introductory course, you will learn programming with Java in an easy and interactive way. | You will learn about fundamental data structures, such as lists, stacks, queues and trees, and presents algorithms for inserting, deleting, searching and sorting information on these data structures in an efficient way. | Emphasis is put on immediate feedback and on having a fun experience. Programming knowledge is not only useful to be able to program today’s devices such as computers and smartphones. It also opens the door to computational thinking, i.e. the application of computing techniques to every-day processes. | This course is designed taking into account the subset and recommendations of the College Board in order to prepare learners for the Advanced Placement (AP) Computer Science A exam."
Open Source Software Development: Linux for Developers,"Open source software (OSS) has become dominant in the technology space. Since its launch in 1991, Linux has grown to power virtually all the world’s supercomputers, most mobile devices, financial exchanges, space stations and rovers, and serves as the backbone of the cloud and the internet itself. Companies, organizations, governments and individuals around the world rely on Linux and open source technologies to conduct business and live their lives every single day. At the same time, the demand for Linux and open source talent is as strong as ever, as revealed by the 2021 Open Source Jobs report. | This course will guide developers to understanding the ‘rules of the road’ of creating open source software, either as a newbie or as someone with experience primarily in creating and working with proprietary code. | The first part of this course covers the fundamentals of open source software development: the who (successful projects and communities), what (definition), why (benefits), where (Git), and how (licensing, compliance, collaboration tips, managing diversity, and continuous development & integration). | The second part of this course dives into the world of Linux: what Linux is, its history, how to separate the kernel from the operating system, and making contributions to it. It covers the graphical system interface, as well as working at the command line, and continues to discuss filesystems, major system components, user accounts, and more, to help you get fully oriented to working on a Linux system. | This course will provide you with a strong foundation for working comfortably and productively in open source development communities. By the end of this course, you will have a better understanding of the Linux environment, as well as the methods and tools required to successfully use the Linux environment."
Generative AI and LLMs on AWS,"Master deploying generative AI models like GPT on AWS through hands-on labs. Learn architecture selection, cost optimization, monitoring, CI/CD pipelines, and compliance best practices. Gain skills in operationalizing LLMs using Amazon Bedrock, auto-scaling, spot instances, and differential privacy techniques. Ideal for ML engineers, data scientists, and technical leaders. | Course Highlights: | Unlock the power of large language models on AWS. Master operationalization using cloud-native services through this comprehensive, practical training program."
Introduction to User Experience,"The user experience is defined as the result of the internal states (eg expectations, predispositions) of a user, the characteristics of a system (eg complexity, usability) and the context of use of the interaction between the user and the system (eg in organization, in private). | Organizations value innovative and well-designed user experiences for their customers and employees, whether they are using their websites, mobile applications, self-service kiosks in store, or various internal interfaces. The practice of UX design uses the user-centered approach and covers 3 main activities: UX research (getting to know the users and their contexts), activities surrounding ideation (such as ""design thinking"" and participatory design) and prototyping. This course teaches methods, techniques and digital tools specific to UX in today's business context. | A UX professional is able to intervene in the design process of a digital product or service in order to ensure a user-centered approach. This allows the organization to respond to the expectations of its users. A UX professional mobilizes a range of interview and observation methodologies until the development of a prototyped interface. | UXPA defines user experience professionals as specialists involved in research, design and evaluation of products and services. Conceptually, this notion of user experience emerges from the human-centered design approach in the field of human machine interaction and human factors in industrial engineering. | Research corresponds to the activity of learning about user interfaces and the context in which they will be used. | Evaluation corresponds to user observation when using these interfaces, as much before, during and after the design and development of the product. | Design corresponds to the standards and principles of design of digital products or services offering optimal user experiences. | Overall objective of the MOOC: | Discuss what the user experience is in the context of business practice"
Introduction to AWS Cloud Careers,"This course introduces technical roles in the AWS Cloud and explains why the Public Cloud Computing model is the new normal. The instructors teach some of the terminologies that are needed to start a Cloud learning journey, covering topics such as the difference between IaaS, PaaS and SaaS, Cloud Computing models (Public, Private and Hybrid Cloud), what are APIs (and why they are important), elasticity, horizontal and vertical scaling. Then, we define the difference between relationship, availability, and milestone-oriented roles, and interview Amazon employees who provide their point of view of how is the day in a life of a Solutions Architect, Data Scientist, Software Developer Engineer, Systems Administrator, Security Engineer, and Customer Support Engineer."
Data Analytics and Databases on AWS,"This course starts by introducing fundamental concepts in data analysis. You begin with how to assess use cases for data analysis in the cloud. After exploring some of the main data types and structures, you’ll complete the module by contrasting two data-processing approaches for analytics: extract, transform, and load (ETL) and extract, load, and transform (ELT). | You’ll then transition to start learning about the ETL pipeline, review AWS services for data analysis, and reinforce your learning through practical labs. These services include Amazon API Gateway, Amazon Relational Database Service (Amazon RDS), Amazon DynamoDB, and Amazon QuickSight. You review these services in the AWS Management Console, and evaluate how you can use each service in the ETL process. Then, you gain practical experience by working with some of these service in a preconfigured environment."
Machine Learning Use Cases in Finance,"The success of machine learning, and in particular deep learning in image recognition and natural language processing applications, has created high expectations and their use has rapidly spread to many different areas. The financial sector is no exception and the last six years have seen an increase in these types of models in financial, banking and insurance contexts. Data science and advanced analytics teams in the financial and insurance community are implementing these models regularly and have found a place for them in their toolbox. | In this course, we will first present a review of some of the applications of machine learning and deep learning. We will then illustrate their use in financial applications through concrete examples that we have seen have sparked interest in the industry. Our examples will illustrate how we can add value through ad hoc construction of architectures rather than a simple exercise of replacing classical models with more complex ones, such as multi-layer networks. | We will see | This course was developed by IVADO and Fin-ML as part of a workshop that takes place yearly in Montréal, since 2018. You will be accompanied throughout and given concrete examples by six international experts from both Academia and Industry. | The course is primarily intended for industry professionals and academics with intermediate knowledge of mathematics and programming (ideally Python). Graduate students in data science and quantitative finance (mainly those who are not yet familiar with machine learning and deep learning) may find this content instructive and compelling. The content of this course will also be of great use to whomever uses or is interested in AI, in any other way. Previous experience in the financial industry is not necessary to follow this course. | This course is brought to you by IVADO, Fin-ML and Université de Montréal. | IVADOis a Québec-wide collaborative institute in the field of digital intelligence. | Fin-MLis a nationwide network of researchers working at the intersection of data science, quantitative finance, and business analytics. | Université de Montréalis one of the world’s leading research universities."
Scripting with Python and SQL for Data Engineering,"In this course, part of the Python, Bash and SQL Essentials for Data Engineering Specialization, you will gain the skills to work effectively with data using Python and SQL. You will learn to: | Whether you are a data engineer, analyst, or aspiring data professional, this course will equip you with the essential skills to efficiently handle data and drive meaningful insights in today's data-driven world."
Introduction to Kubernetes on Edge with K3s,"There is a growing interest in running software at the edge. This course takes a deep dive into the use cases and applications of Kubernetes at the edge using examples, labs, and a technical overview of the K3s project and the cloud native edge ecosystem. | This course is designed for those interested learning more about Kubernetes, as well as in deploying applications or embedded sensors in edge locations. While learners do not need a Kubernetes certification for this course, experience with a Linux operating system and shell scripting will be beneficial. Programming experience is also not strictly required. Learners will need to be able to run Docker on their computer. | In this course, you will learn the use cases for running compute in edge locations and about various supporting projects and foundations such as LF Edge and CNCF. The course covers how to deploy applications to the edge with open source tools such as K3s and k3sup, and how those tools can be applied to low-power hardware such as the Raspberry Pi. You will learn the challenges associated with edge compute, such as partial availability and the need for remote access. Through practical examples, students will gain experience of deploying applications to Kubernetes and get hands-on with object storage, MQTT and OpenFaaS. It also introduces the fleet management and GitOps models of deployment, and helps you understand messaging, and how to interface with sensors and real hardware. | This course will enable developers to learn about the growing impact the cloud native movement is having on modernizing edge deployments. They will also learn the challenges of deploying Kubernetes on the edge through a concrete example via the k3s project."
Continuous Integration and Delivery (CI/CD),"Continuous Integration and Continuous Delivery (CI/CD) is a key skill that every modern day Software and DevOps Engineer should know. This course provides a practical introduction to CI/CD, an automated approach to software development. **** | Many Organizations are adopting CI/CD practices to ship software faster and more efficiently. CI/CD focuses on frequent and reliable software delivery processes using automation to ensure code quality. This practice requires automation that continuously integrates code changes and continuously delivers those changes to a production environment. **** | In this course, you’ll examine the key features of CI and practice social coding using the Git Feature Branch Workflow. You will also learn about standard CI tools and gain a deep understanding of GitHub Actions workflows and their components. You’ll also review CD and its goals, benefits, and best practices. And you will learn the requirements of a CI/CD pipeline and discover standard CD tools. **** | You will explore Tekton and discover how its components work together to create a CD pipeline. You will learn how to build a pipeline, pass parameters to a pipeline, build triggers to start pipeline runs, implement reusable tasks, and create custom tasks. For your final project, you will complete your CD pipeline by building a container image and deploying your application to an OpenShift Kubernetes cluster. | Throughout this course, you’ll demonstrate your CI/CD skills by completing several hands-on labs with real-world tools used by DevOps professionals."
Using GenAI to Automate Software Development Tasks,"In this cutting-edge course, you will: | Whether you're a seasoned developer or just starting your journey, this course will equip you with the skills and knowledge to harness the power of AI and revolutionize the way you build software. Get ready to stay ahead in the rapidly evolving world of AI-driven development."
Introduction to Information Technology and AWS Cloud,"Technology is omnipresent, but how did we get here? And what does the future hold for a world that's increasingly connected, mobile and data-rich? This course is to give learners enough technical context to understand how to build solutions in the cloud starting from zero technical knowledge. Before diving into the cloud, we will cover the basics of: how do computers work (including software and operating systems), an introduction to information technology, the basics of modern IT infrastructure, and the cloud careers that will be increasingly in-demand. We will then move into the world of internet connected networks (the Internet), covering local hosts, web servers, web applications, web security, the interworkings of a Website and the differences between static and dynamic content. We'll close the course by introducing Cloud Computing; it's role in our world, the differences between public, private and hybrid and why APIs are so important."
UX Research,"You’re curious about user experience (UX) but don’t know where to begin? This is the course for you! UX Research is what turned design into UX Design and evaluation into UX evaluation. In short, what makes UX, UX! | In this MOOC, you will learn to collect user information throughout the digital product’s development. From interviews, observation and cultural probes, to running surveys and reading web analytics, you will learn the most current UX data collection methods. | Seeing the product through the eyes of your users operates a paradigm shift with lasting impact. A good UX has been recognized to be profitable for organizations, consequently, UX Research expertise is a highly sought-after skill in business organizations. | No previous knowledge needed. Join us as you start your UX journey, through the UX Design and Evaluation MicroMasters, or as an individual course."
Transformando la educación con IA: ChatGPT,"En un mundo cada vez más digitalizado y en constante evolución tecnológica, es importante estar al tanto de las herramientas y recursos que están transformando la educación, y sin duda Chat GPT es una de ellas; revolucionando la forma en que los estudiantes acceden y procesan información, y la forma en que los docentes diseñan y entregan contenidos educativos personalizados. | ChatGPT es un modelo de lenguaje de inteligencia artificial desarrollado por OpenAI. Funciona mediante el uso de técnicas de procesamiento del lenguaje natural y es entrenado con grandes cantidades de texto para generar respuestas a preguntas o sugerencias dadas por los usuarios. | El potencial de esta tecnología en la educación es evidente. ChatGPT puede apoyar a los docentes en muchas tareas como la generación de contenidos, o en el desarrollo de sus planteamientos didácticos. Sin embargo, como siempre sucede cuando aparecen tecnologías relacionadas con el conocimiento y el saber hacer, rápidamente surgen preocupaciones sobre su uso en el aula. Por un lado, los optimistas elogian la herramienta porque apoya la enseñanza. Por otro lado, los escépticos ven una clara dificultad con respecto a la posibilidad de que los estudiantes completen fácilmente una tarea con el uso de ChatGPT. Preocupaciones y preguntas que surgen cada vez que aparecen nuevas tecnologías en el ámbito educativo, pero, como de costumbre, estas preocupaciones deben considerarse dentro de un marco más general de reflexión como la relación (pasado, presente y futuro) entre las tecnologías y la educación. | En este curso descubrirás cómo interactuar con ChatGPT de manera efectiva y creativa para obtener respuestas sorprendentes y relevantes en el ámbito educativo. Aprenderás, a través de ejemplos prácticos, todo lo que necesitas saber sobre ChatGPT y cómo utilizarlo para diseñar planes de estudio, planificar los aprendizajes, crear materiales didácticos, diseñar actividades de aprendizaje y evaluaciones. | Al finalizar el curso los participantes tendrán una comprensión sólida de cómo utilizar ChatGPT para potenciar los procesos de enseñanza y aprendizaje y la oportunidad de experimentar con ChatGPT para comenzar a desarrollar sus propias ideas de cómo implementarlo en su práctica docente."
Programación en Python: visualización de datos,"En este curso se van a impartir los conocimientos necesarios para comenzar a trabajar con visualización de datos en el lenguaje de programación Python. En primer lugar, se explicará las características principales de la librería Pandas, fundamental para poder trabajar con datos tabulados. A continuación, se introducirá al alumno en la visualización de gráficas básicas conociendo todos los componentes que permiten formatear las gráficas mediante la librería Matplotlib. Además, se explicará cómo utilizar la librería Seaborn que permite crear gráficos estadísticos fácilmente. En todos los módulos que componen el curso se utilizarán fuentes de datos reales para su visualización"
Teach teens computing: Object-oriented Programming in Python,"Object-oriented programming is a programming paradigm based on objects and data rather than actions and logic. | This online course will introduce you to the principles of object-oriented programming in Python, showing you how to create objects, functions, methods, and classes. | You'll use what you learn to create your own text-based adventure game. You will have the chance to share your code with other learners, and see theirs. | If you're an educator, you'll also be able to develop ideas for using object-oriented programming in your classroom."
